type,brand,model,name,price_new,price_refurb,co2_new,co2_refurb,lifespan_new,lifespan_refurb,power_on,power_standby,source_co2
switch_router,TP-Link,TL-SG3428MP,TP-Link JetStream 28 ports PoE+,549,260,45,4.5,72,60,0.035,0.015,Boavizta
switch_router,Dell,N1124P-ON,Dell Networking N1124P 24 ports,789,370,58,5.8,72,60,0.028,0.012,Boavizta
phone,Cisco,CP-8845,Cisco IP Phone 8845 Video,389,180,25,2.5,72,60,0.008,0.002,Boavizta
phone,Cisco,CP-8841,Cisco IP Phone 8841,299,140,22,2.2,72,60,0.006,0.002,Boavizta
phone,Cisco,CP-8811,Cisco IP Phone 8811,179,85,18,1.8,72,60,0.005,0.001,Boavizta
phone,Cisco,CP-7841,Cisco IP Phone 7841,159,75,16,1.6,72,60,0.004,0.001,Boavizta
phone,Poly,VVX 450,Poly VVX 450 Business IP,249,120,20,2.0,72,60,0.006,0.002,Boavizta
phone,Poly,VVX 350,Poly VVX 350 Business IP,179,85,17,1.7,72,60,0.005,0.001,Boavizta
phone,Yealink,T58W,Yealink T58W Smart Business,329,155,23,2.3,72,60,0.007,0.002,Boavizta
phone,Yealink,T54W,Yealink T54W Prime Business,189,90,18,1.8,72,60,0.005,0.001,Boavizta
phone,Yealink,T46U,Yealink T46U IP Phone,149,70,15,1.5,72,60,0.004,0.001,Boavizta
phone,Grandstream,GXP2170,Grandstream GXP2170 Enterprise,129,60,14,1.4,60,48,0.004,0.001,Boavizta
refurbished_smartphone,Apple,iPhone 13 Pro Refurb,Apple iPhone 13 Pro Reconditionné,650,,8,,36,,0.005,0.001,ADEME (10% neuf)
refurbished_smartphone,Apple,iPhone 13 Refurb,Apple iPhone 13 Reconditionné,520,,7.5,,36,,0.005,0.001,ADEME (10% neuf)
refurbished_smartphone,Apple,iPhone 12 Refurb,Apple iPhone 12 Reconditionné,420,,7,,36,,0.005,0.001,ADEME (10% neuf)
refurbished_smartphone,Samsung,Galaxy S23 Refurb,Samsung Galaxy S23 Reconditionné,580,,7.8,,36,,0.005,0.001,ADEME (10% neuf)
refurbished_smartphone,Samsung,Galaxy S22 Refurb,Samsung Galaxy S22 Reconditionné,450,,7.5,,36,,0.005,0.001,ADEME (10% neuf)
refurbished_smartphone,Samsung,Galaxy A53 Refurb,Samsung Galaxy A53 Reconditionné,280,,6,,36,,0.005,0.001,ADEME (10% neuf)
refurbished_smartphone,Google,Pixel 7 Pro Refurb,Google Pixel 7 Pro Reconditionné,550,,7.5,,36,,0.005,0.001,ADEME (10% neuf)
refurbished_smartphone,Google,Pixel 7 Refurb,Google Pixel 7 Reconditionné,420,,7,,36,,0.005,0.001,ADEME (10% neuf)
refurbished_smartphone,Backmarket,Grade A Premium,Smartphone Grade A (toutes marques),400,,6,,36,,0.005,0.001,Backmarket
refurbished_smartphone,Backmarket,Grade B Standard,Smartphone Grade B (toutes marques),300,,6,,36,,0.005,0.001,Backmarket
refurbished_screen,Dell,U2722D Refurb,Dell UltraSharp 27" Reconditionné,280,,35,,72,,0.16,0.005,ADEME (10% neuf)
refurbished_screen,Dell,P2423D Refurb,Dell Professional 24" Reconditionné,160,,28,,72,,0.12,0.004,ADEME (10% neuf)
refurbished_screen,HP,E27m G4 Refurb,HP E27m 27" Reconditionné,200,,29,,72,,0.13,0.004,ADEME (10% neuf)
refurbished_screen,LG,27UK850 Refurb,LG 27" 4K Reconditionné,210,,33,,72,,0.15,0.005,ADEME (10% neuf)
refurbished_screen,Samsung,S27R650 Refurb,Samsung 27" Reconditionné,150,,27,,72,,0.11,0.004,ADEME (10% neuf)
refurbished_screen,Philips,272E1SA Refurb,Philips 27" Reconditionné,90,,22,,60,,0.10,0.003,ADEME (10% neuf)
refurbished_screen,Backmarket,24 pouces Grade A,Écran 24" Grade A Reconditionné,120,,25,,72,,0.12,0.004,Backmarket
refurbished_screen,Backmarket,27 pouces Grade A,Écran 27" Grade A Reconditionné,180,,30,,72,,0.14,0.005,Backmarket
refurbished_screen,Backmarket,27 pouces Grade B,Écran 27" Grade B Reconditionné,140,,30,,60,,0.14,0.005,Backmarket
refurbished_screen,Backmarket,32 pouces Grade A,Écran 32" Grade A Reconditionné,250,,40,,72,,0.18,0.006,Backmarket
refurbished_switch_router,Cisco,C9200L-24P Refurb,Cisco Catalyst 9200L 24p Reconditionné,1200,,9.5,,84,,0.045,0.020,Boavizta (10% neuf)
refurbished_switch_router,Cisco,CBS350-24T Refurb,Cisco Business 350 24p Reconditionné,280,,5.5,,84,,0.018,0.008,Boavizta (10% neuf)
refurbished_switch_router,HP,Aruba 2930F Refurb,HPE Aruba 2930F Reconditionné,780,,8.5,,84,,0.038,0.015,Boavizta (10% neuf)
refurbished_switch_router,Netgear,GS324TP Refurb,Netgear 24p PoE+ Reconditionné,210,,4.8,,84,,0.022,0.010,Boavizta (10% neuf)
refurbished_switch_router,Ubiquiti,USW-Pro-24 Refurb,Ubiquiti UniFi Pro 24 Reconditionné,330,,5.2,,84,,0.025,0.010,Boavizta (10% neuf)
refurbished_switch_router,Dell,N1124P Refurb,Dell Networking Reconditionné,370,,5.8,,84,,0.028,0.012,Boavizta (10% neuf)
refurbished_switch_router,Backmarket,Switch 24p Grade A,Switch 24 ports Grade A,250,,5,,84,,0.020,0.010,Backmarket
refurbished_switch_router,Backmarket,Switch 48p Grade A,Switch 48 ports Grade A,400,,8,,84,,0.035,0.015,Backmarket
refurbished_switch_router,Backmarket,Router Pro Grade A,Routeur Pro Grade A Reconditionné,300,,6,,84,,0.025,0.012,Backmarket
refurbished_switch_router,Backmarket,Router Standard Grade B,Routeur Standard Grade B,180,,5,,72,,0.020,0.010,Backmarket
meeting_room_screen,Samsung,QM85R,Samsung 85" 4K UHD Professional,4500,2200,650,65,72,60,0.35,0.015,ADEME Pro Display
meeting_room_screen,Samsung,QM75R,Samsung 75" 4K UHD Professional,3200,1600,550,55,72,60,0.30,0.012,ADEME Pro Display
meeting_room_screen,Samsung,QM65R,Samsung 65" 4K UHD Professional,2200,1100,480,48,72,60,0.25,0.010,ADEME Pro Display
meeting_room_screen,LG,86UH5F,LG 86" 4K UHD Commercial,5500,2700,700,70,72,60,0.40,0.018,ADEME Pro Display
meeting_room_screen,LG,75UH5F,LG 75" 4K UHD Commercial,3500,1750,580,58,72,60,0.32,0.014,ADEME Pro Display
meeting_room_screen,LG,65UH5F,LG 65" 4K UHD Commercial,2400,1200,500,50,72,60,0.26,0.011,ADEME Pro Display
meeting_room_screen,Sony,FW-85BZ40H,Sony BRAVIA 85" 4K Pro,6000,3000,720,72,72,60,0.42,0.020,ADEME Pro Display
meeting_room_screen,Sony,FW-75BZ40H,Sony BRAVIA 75" 4K Pro,4200,2100,600,60,72,60,0.34,0.015,ADEME Pro Display
meeting_room_screen,Dell,C7520QT,Dell 75" 4K Interactive Touch,4800,2400,620,62,72,60,0.36,0.016,ADEME Pro Display
meeting_room_screen,Microsoft,Surface Hub 2S 85,Microsoft Surface Hub 2S 85",12000,6000,850,85,72,60,0.50,0.025,Microsoft LCA

laptop,Dell,3140,Ordinateur portable Latitude 3140 ou 2-en-1,832.04,416.02,193.0,19.3,60,48,0.05,0.003,ADEME
laptop,Dell,DB04250,Ordinateur portable Dell 14 Plus 2-en-1,849.0,424.5,193.0,19.3,60,48,0.05,0.003,ADEME
